trecho_id,alvo,ano_teste,n_treino,n_teste,treino_restrito_a_observado,mae,rmse,r2,n_teste_observado,mae_teste_observado,rmse_teste_observado,n_teste_simulado,mae_baseline_persistencia,reducao_mae_vs_baseline_pct,mae_teste_simulado,rmse_teste_simulado
baixo_tiete,iqa,2015,37,1,True,6.0431230626671635,6.0431230626671635,,1,6.0431230626671635,6.0431230626671635,0,7.812499999999986,22.6,,
baixo_tiete,iqa,2016,38,1,True,0.8961768264245364,0.8961768264245364,,1,0.8961768264245364,0.8961768264245364,0,4.020833333333329,77.7,,
baixo_tiete,iqa,2017,39,1,True,3.7172110665665627,3.7172110665665627,,1,3.7172110665665627,3.7172110665665627,0,2.7708333333333286,-34.2,,
baixo_tiete,iqa,2018,40,1,True,2.3600872481369066,2.3600872481369066,,1,2.3600872481369066,2.3600872481369066,0,0.5416666666666714,-335.7,,
baixo_tiete,iqa,2019,41,1,True,7.0341883016500475,7.0341883016500475,,1,7.0341883016500475,7.0341883016500475,0,8.229166666666671,14.5,,
baixo_tiete,iqa,2020,42,1,True,9.939739078255542,9.939739078255542,,1,9.939739078255542,9.939739078255542,0,14.5625,31.7,,
baixo_tiete,iqa,2021,43,1,True,3.598882447422241,3.598882447422241,,1,3.598882447422241,3.598882447422241,0,13.285714285714278,72.9,,
baixo_tiete,iqa,2022,44,1,True,8.61775912309669,8.61775912309669,,0,,,1,2.9142857142857252,-195.7,8.61775912309669,8.61775912309669
baixo_tiete,iqa,2023,44,1,True,2.0157714140990066,2.0157714140990066,,0,,,1,3.1000000000000085,35.0,2.0157714140990066,2.0157714140990066
baixo_tiete,iqa,2024,44,1,True,5.098779996169583,5.098779996169583,,0,,,1,1.8000000000000114,-183.3,5.098779996169583,5.098779996169583
baixo_tiete,iqa,2025,44,1,True,2.2474911299431852,2.2474911299431852,,0,,,1,2.9000000000000057,22.5,2.2474911299431852,2.2474911299431852
