trecho_id,alvo,ano_teste,n_treino,n_teste,treino_restrito_a_observado,mae,rmse,r2,n_teste_observado,mae_teste_observado,rmse_teste_observado,n_teste_simulado,mae_baseline_persistencia,reducao_mae_vs_baseline_pct,mae_teste_simulado,rmse_teste_simulado
alto_tiete,iqa,2015,36,1,True,3.908114328162373,3.908114328162373,,1,3.908114328162373,3.908114328162373,0,1.151544784580496,-239.4,,
alto_tiete,iqa,2016,37,1,True,1.6531464492279486,1.6531464492279486,,1,1.6531464492279486,1.6531464492279486,0,3.1044961734693857,46.7,,
alto_tiete,iqa,2017,38,1,True,1.1254349897336162,1.1254349897336162,,1,1.1254349897336162,1.1254349897336162,0,1.7734374999999982,36.5,,
alto_tiete,iqa,2018,39,1,True,0.7656861986432553,0.7656861986432553,,1,0.7656861986432553,0.7656861986432553,0,0.5750000000000011,-33.2,,
alto_tiete,iqa,2019,40,1,True,2.402763722824835,2.402763722824835,,1,2.402763722824835,2.402763722824835,0,3.041406249999998,21.0,,
alto_tiete,iqa,2020,41,1,True,20.018874228385993,20.018874228385993,,1,20.018874228385993,20.018874228385993,0,18.74282986111112,-6.8,,
alto_tiete,iqa,2021,42,1,True,5.096317151969213,5.096317151969213,,0,,,1,3.5811111111111202,-42.3,5.096317151969213,5.096317151969213
alto_tiete,iqa,2022,42,1,True,3.835786662241631,3.835786662241631,,0,,,1,1.5999999999999979,-139.7,3.835786662241631,3.835786662241631
alto_tiete,iqa,2023,42,1,True,11.508607267904855,11.508607267904855,,1,11.508607267904855,11.508607267904855,0,14.854729729729732,22.5,,
alto_tiete,iqa,2024,43,1,True,10.584505648172911,10.584505648172911,,0,,,1,14.95472972972973,29.2,10.584505648172911,10.584505648172911
alto_tiete,iqa,2025,43,1,True,11.374868682080656,11.374868682080656,,0,,,1,1.8000000000000007,-531.9,11.374868682080656,11.374868682080656
