trecho_id,alvo,ano_teste,n_treino,n_teste,treino_restrito_a_observado,mae,rmse,r2,n_teste_observado,mae_teste_observado,rmse_teste_observado,n_teste_simulado,mae_baseline_persistencia,reducao_mae_vs_baseline_pct,mae_teste_simulado,rmse_teste_simulado
baixo_tiete,od_mg_l,2015,37,1,True,0.5999043089626426,0.5999043089626426,,1,0.5999043089626426,0.5999043089626426,0,0.7749999999999995,22.6,,
baixo_tiete,od_mg_l,2016,38,1,True,0.23785224925537474,0.23785224925537474,,1,0.23785224925537474,0.23785224925537474,0,0.22500000000000053,-5.7,,
baixo_tiete,od_mg_l,2017,39,1,True,0.30427012686387656,0.30427012686387656,,1,0.30427012686387656,0.30427012686387656,0,0.3249999999999993,6.4,,
baixo_tiete,od_mg_l,2018,40,1,True,0.007750172975171665,0.007750172975171665,,1,0.007750172975171665,0.007750172975171665,0,0.11666666666666714,93.4,,
baixo_tiete,od_mg_l,2019,41,1,True,0.8753974894159944,0.8753974894159944,,1,0.8753974894159944,0.8753974894159944,0,0.875,-0.0,,
baixo_tiete,od_mg_l,2020,42,1,True,1.1810158098845696,1.1810158098845696,,1,1.1810158098845696,1.1810158098845696,0,1.6749999999999998,29.5,,
baixo_tiete,od_mg_l,2021,43,1,True,0.3060063920012466,0.3060063920012466,,1,0.3060063920012466,0.3060063920012466,0,1.314285714285714,76.7,,
baixo_tiete,od_mg_l,2022,44,1,True,0.09041013294329314,0.09041013294329314,,0,,,1,0.4142857142857137,78.2,0.09041013294329314,0.09041013294329314
baixo_tiete,od_mg_l,2023,44,1,True,0.11540304834055082,0.11540304834055082,,0,,,1,0.04999999999999982,-130.8,0.11540304834055082,0.11540304834055082
baixo_tiete,od_mg_l,2024,44,1,True,0.21735721683026554,0.21735721683026554,,0,,,1,0.16000000000000014,-35.8,0.21735721683026554,0.21735721683026554
baixo_tiete,od_mg_l,2025,44,1,True,0.10805044767784544,0.10805044767784544,,0,,,1,0.2699999999999996,60.0,0.10805044767784544,0.10805044767784544
