trecho_id,alvo,ano_teste,n_treino,n_teste,treino_restrito_a_observado,mae,rmse,r2,n_teste_observado,mae_teste_observado,rmse_teste_observado,n_teste_simulado,mae_baseline_persistencia,reducao_mae_vs_baseline_pct,mae_teste_simulado,rmse_teste_simulado
alto_tiete,od_mg_l,2015,32,1,True,0.45420962603056103,0.45420962603056103,,1,0.45420962603056103,0.45420962603056103,0,0.15353930461073295,-195.8,,
alto_tiete,od_mg_l,2016,33,1,True,0.15622211423523624,0.15622211423523624,,1,0.15622211423523624,0.15622211423523624,0,0.4139328231292516,62.3,,
alto_tiete,od_mg_l,2017,34,1,True,0.3157002644982192,0.3157002644982192,,1,0.3157002644982192,0.3157002644982192,0,0.23645833333333321,-33.5,,
alto_tiete,od_mg_l,2018,35,1,True,0.1275057774288204,0.1275057774288204,,1,0.1275057774288204,0.1275057774288204,0,0.07666666666666688,-66.3,,
alto_tiete,od_mg_l,2019,36,1,True,0.13530676363639804,0.13530676363639804,,1,0.13530676363639804,0.13530676363639804,0,0.40552083333333333,66.6,,
alto_tiete,od_mg_l,2020,37,1,True,0.13010971372293145,0.13010971372293145,,1,0.13010971372293145,0.13010971372293145,0,0.17489583333333347,25.6,,
alto_tiete,od_mg_l,2021,38,1,True,0.4676548990135696,0.4676548990135696,,0,,,1,0.6100000000000001,23.3,0.4676548990135696,0.4676548990135696
alto_tiete,od_mg_l,2022,38,1,True,0.6203700303374531,0.6203700303374531,,0,,,1,0.040000000000000036,-1450.9,0.6203700303374531,0.6203700303374531
alto_tiete,od_mg_l,2023,38,1,True,0.3649424911438388,0.3649424911438388,,1,0.3649424911438388,0.3649424911438388,0,0.3027027027027027,-20.6,,
alto_tiete,od_mg_l,2024,39,1,True,0.24271770455503106,0.24271770455503106,,0,,,1,0.1427027027027028,-70.1,0.24271770455503106,0.24271770455503106
alto_tiete,od_mg_l,2025,39,1,True,0.13417378478098319,0.13417378478098319,,0,,,1,0.08000000000000007,-67.7,0.13417378478098319,0.13417378478098319
